::ffff:127.0.0.1 - - [11/Sep/2023:13:43:42 +0000] "GET /vehiculo HTTP/1.1" 200 521 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Sep/2023:13:44:07 +0000] "GET /vehiculo/1 HTTP/1.1" 404 149 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Sep/2023:13:44:22 +0000] "GET /vehiculo/ford HTTP/1.1" 404 152 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Sep/2023:13:44:38 +0000] "GET /vehiculo/ford HTTP/1.1" 404 152 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Sep/2023:13:44:46 +0000] "GET /vehiculo/ford HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Sep/2023:13:45:09 +0000] "GET /vehiculo/ford HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Sep/2023:13:45:11 +0000] "GET /vehiculo/ford HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [11/Sep/2023:13:45:30 +0000] "GET /vehiculo HTTP/1.1" 200 521 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:15:32 +0000] "GET /carro HTTP/1.1" 200 226 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:16:13 +0000] "GET /carro/:ford HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:16:20 +0000] "GET /carro/ford HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:17:21 +0000] "GET /carro HTTP/1.1" 200 226 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:17:41 +0000] "GET /carro HTTP/1.1" 200 226 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:17:45 +0000] "GET /carro/Ford HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:17:49 +0000] "GET /carro/ford HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:17:52 +0000] "GET /carro/Malibu HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:17:57 +0000] "GET /carro/Honda HTTP/1.1" 200 31 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:18:00 +0000] "GET /carro HTTP/1.1" 200 226 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:18:44 +0000] "GET /carro HTTP/1.1" 200 226 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:21:49 +0000] "GET /carro HTTP/1.1" 200 226 "-" "Thunder Client (https://www.thunderclient.com)"
::ffff:127.0.0.1 - - [12/Sep/2023:13:21:53 +0000] "GET /carro/honda HTTP/1.1" 200 2 "-" "Thunder Client (https://www.thunderclient.com)"
